ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
36,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,1,8474574.970011996,8202224.065560663,8387678.864227154,8402895.220955808,8471934.026389444
37,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,2,7055372.850859656,9103985.805677729,7915106.136318209,6994926.229508197,5508613.554578169
38,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,4,17376313.474610157,13866023.990403838,12413815.073970413,11166860.08394963,14048139.344262296
39,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,8,24256769.138516888,30746824.470211916,27760181.527389046,24608522.191123553,22917318.944844127
40,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,16,38549065.5606636,45071130.72156706,37921454.43645084,42229573.45592644,46780146.68265388
41,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,32,41028935.29059317,45035529.364762284,55311538.461538464,52194027.367159404,48662255.29364762
42,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,1,2902.097902097902,2855.6865880471714,2932.8402958225065,2871.1031175059957,2929.4282287085166
43,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,2,2076.9384492406075,2115.6843156843156,2016.7899260443733,1999.4004796163072,1775.8241758241759
44,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,4,2732.560463721767,3072.7418065547563,2790.4514582500997,3005.596642014791,2674.3256743256743
45,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,8,4519.376747902516,4603.317346123102,4377.622377622378,4121.278721278722,4345.592644413352
46,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,16,5676.987614862165,6253.2454563610945,6612.3876123876125,6231.52217339193,5930.497303774716
47,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,32,9931.89534651488,10296.924920127796,9924.550898203594,9727.635782747604,9604.31223797165
48,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,1,12527.272727272728,12638.144742103159,12265.293882447022,12560.063961623026,12398.601398601399
49,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,2,19472.91625024985,20035.585765693722,19819.344524380496,19813.786213786214,19683.989606236257
50,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,4,30066.360183889665,30947.042366107118,30521.278721278723,30606.835898460922,30557.97680927629
51,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,8,46591.608391608395,47037.56243756244,47174.89506296222,46732.8137490008,47446.24300559553
52,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,16,71657.47952865988,72162.07034372502,71179.25659472423,71916.68331668332,72681.84541641703
53,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,32,112477.73117635312,113283.26008789452,111963.2587859425,112349.17149131562,112628.7197922908
54,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,1,12130.347860855658,12667.999200479711,12441.846522781776,12264.69412235106,12588.846691984809
55,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,2,19258.9928057554,19863.736263736264,19897.84086365454,19553.268039176495,19536.970423661074
56,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,4,30251.0986815821,30623.22606436138,30994.603238057163,30464.921047371576,30068.53146853147
57,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,8,46977.61343194084,46740.35578652808,46094.7242206235,46738.91330403516,47042.77433539876
58,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,16,71889.28856914469,72022.57742257742,71492.90992610346,71955.23581135093,72753.79696243006
